Tweet_Content,First_Level_True,First_Level_Pred,Second_Level_True,Second_Level_Pred,Sentiment
donald trump visits his golf club amid outrage over remarks about us war dead,1,1,3,3,Negative
drug thug much wonder if such actions count as racketeering this must be why americans are less healthy than canadians,1,1,3,3,Positive
besides trumps comments about the coronavirus threat the book covers north korea racial unrest and a new mystery weapons system,0,0,1,1,Positive
council sorry for urging people to treat virus like mother-in-law shocking slur on mothers in law mine was in air accident coming in to land she clipped the hedge landed on the drive and her broom was wrecked,1,1,3,3,Negative
i havent died before but the majority of america has been wiped out between gun violence and coronavirus according to puddin pie joe,0,0,1,1,Neutral
scotty should do the right thing and not cut the supplement and have a plan for jobs auspol,1,1,3,3,Positive
into spreading out of context clips eh full quote i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge then went on to talk about all the things we need to do to fight it,0,0,0,0,Positive
coronavirus lockdown covid19 trump accepts downplaying covid risk to reduce panic us president donald trump has acknowledged downplaying the dangers of the deadly novel coronavirus as he did not want to create panic according to a new book by a renowned us investigative,0,0,0,0,Negative
than you bob woodward as a young reporter you sniffed out and documented what richard nixon did and now youve shown everyone the american tragedy that is donald trump coronavirus,0,0,1,1,Positive
as toronto fest goes mask-optional attendees fear superspreader event,1,1,2,2,Neutral
jedward start twitter war with singer ian brown over his controversial comments about coronavirus,0,0,1,1,Positive
its officially the start of welcome week we are excited to welcome all our new students to the geneva business school community learn about the measures implemented across all our campuses to ensure the health and well-being of our community,1,1,3,3,Positive
trump says he misled on virus to instill calm but hes governed with scare tactics media should call trump out on these lies churchill never lied to people in britain he told them the truth,1,1,2,2,Positive
hell yeah,1,1,3,3,Neutral
watch joe biden told americans not to panic about coronavirus in february,0,0,0,0,Neutral
there was no calm there was no state of no panic calling it a hoax  fake news stoking contempt and disdain for those seeking scientifically sound public policy created situations like this,1,1,2,2,Negative
the party of healthcare led by the law and order loved by the military but not the families of losers and suckers president didnt want to panic us about a coronavirus that has sickened more than 6 million americans killing 193000 so he lied votebidenharris2020,0,0,0,0,Positive
coronavirus cases in nashville may have been so low that the mayors office and the metro health department decided to keep it secret,0,0,1,1,Negative
karol sikora this ridiculous rule of 6 poses a real danger via,1,1,3,3,Negative
thailands economy is expected to contract between 7 and 9 this year from the impact of the coronavirus pandemic while frequent anti-government protests are a concern read more news economy,0,0,1,0,Positive
my brother asked why i remove the icing from my share of birthday cakei explained its because the spit from candle blowing lands there he said im mad left rest of his cake though lifehack coronavirus,0,0,1,1,Negative
trump is recorded saying coronavirus is deadly stuff even as he publicly downplayed it hmm it is ok to lie to everyone your a pathetic leader and no wonder our country is a mess you did say its a hoax and oomphs,0,0,1,1,Negative
play it down trump admits to concealing the true threat of coronavirus in new woodward book trump,0,0,1,1,Positive
the coronavirus began in 2019 didnt it i forget when biden became president ronna bob woodward thinks trump was president no wonder trump didnt care about the virus cause biden was president thanks for clearing that up,0,0,1,1,Positive
stop listening to the bbc for starters bbc news coronavirus how can i overcome my anxiety,0,0,0,0,Neutral
receiving influenza vaccination may increase the risk of other respiratory viruses a phenomenon known as virus interferencevaccine derived virus interference was significantly associated with coronavirus -dod 2020 stop being a pimp for big pharma,0,0,1,1,Positive
trump acknowledges he intentionally downplayed deadly coronavirus says effort was to reduce panic,0,0,0,0,Negative
in july one in four adults did not spend any time in green and natural spaces in the previous fortnight concern about coronavirus was the top reason why read more here betterwithnature peopleandnature,0,0,0,0,Positive
trump just admitted he downplayed coronavirus so people didnt worry about it,0,0,0,0,Neutral
charlie kirk trump can attack biden on coronavirus and win votes heres how,0,0,1,1,Positive
rage at woodward is misplaced and pointless trump was clearly lying all along woodward reporting trumps statements sooner would have made no difference to either 1 trumps handling of the coronavirus or 2 the refusal of his base to acknowledge the obvious facts,0,0,1,1,Negative
important scientific findings of the greatest genius forests have to be raked trees can explode the coronavirus is disappearing like a miracle itll start getting cooler,0,0,1,1,Positive
we now need all mps to stop cowering behind the party line and do the job that they were voted in for to serve the people this crazy dictatorial rogue government must be stopped retweet this and tag your local mp the coronavirus act must be opposed to start with do it,0,0,1,1,Negative
covid19 lockdowns limiting contacts in low risks highly connected prevents immunity,1,1,3,3,Positive
bob woodward book rage trump admits to concealing true threat of coronavirus cnnpolitics,0,0,1,1,Positive
donald trump says he didnt want to panic people  then he tweeted this smartnews all you do us lie and try to creat panic and violence byour proud boys are an example of your troops,1,1,3,3,Positive
during this pandemic businesses can benefit from focusing on acts of kindness and generosity as well as building relationships with customers instead of solely focusing on selling their productservice,1,1,3,3,Neutral
my big worry is twofold first foreign powers will use this to arm insurrectionists imagine what providing chemical weapons to a group of people who think the denver airport spreads coronavirus due to satan would mean 7,0,0,0,0,Negative
what is happening in our country when we attack those who want to help us horror disgusted,1,1,3,3,Negative
how to deal with the anxiety of uncertainty via,1,1,2,2,Neutral
i know this is gonna scare you man but the news is lying to you like 70 of americans know this only 95k died from just coronavirus i rest of the people he at least 2 medical conditions and we dont use slave labor here we abolished slavery a long time ago,0,0,0,0,Negative
trump admits he downplayed coronavirus after bombshell woodward tapes reveal he knew it was deadly daily mail via,0,0,1,1,Neutral
hot take house shouldnt have violated the bubbles policies coronavirus isnt a joke and he puts everyone at risk clearly his eyes were not on the prize and im mad he risked it all for idek what,0,0,1,1,Negative
watch joe biden told americans not to panic about coronavirus in february via,0,0,0,0,Neutral
nothing to wonderthis is done by a country who have ulterior motive every time coronavirus covid-19 was made in a wuhan laboratory reveals chinese virologist dr li-meng yan source zee news via dailyhunt download now,0,0,1,1,Neutral
ive never seen the american west in such deep distress,1,1,2,2,Neutral
trump virus continues killing americans violence in the streets how about genocide from coronavirus no other way to say it trump lied and americans died,0,0,1,1,Positive
it is time for new yorkers to get out there and resume life nys 1 positivity rate is within the false positive zone what could possibly account for nys continued lockdown mania other than irrational fear sciencematters covid19 deblasio cuomo,1,1,2,2,Negative
woodward book trump says he knew coronavirus was deadly and worse than the flu while intentionally misleading americans by,0,0,1,1,Negative
tom peck dont worry matt hancock will sort out testing in a matter of weeks,1,1,2,2,Neutral
the coronavirus pandemic has forced students online this semester but what if you could take your virtual classes from the comfort of a tropical island reports on the students taking classes from paradise watch now,0,0,0,1,Negative
they are desperate to keep the panic going coronavirus cases are growing in 11 us states,0,0,0,0,Negative
ill do it for you bidens full quote  i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge take your head out of the sand youve been played just admit it and move on,0,0,0,0,Negative
some analysts point to a second wave of covid cases impacting demand levels for oil yet again which they say could cause a shock to the energy market,1,1,3,3,Neutral
art favre ceo of batonrouge performance contractors said that its been a tough year at the start there was plenty of work in the pipeline now the company has sought work across the nation to stay afloat louisiana coronavirus,0,0,1,1,Negative
trump isnt teflon its simply that whatever will stick to him has already stuck to him absorbing this much damage and provoking this much loathing has not been a successful strategy stable poll numbers in the low 40s are hardly a political triumph,1,1,2,3,Positive
coronavirus sir keir starmer unleashes his most powerful attack on boris johnsons handling of pandemic  politics news  sky news,0,0,1,1,Positive
dont want to create panic defends coronavirus response after book says he downplayed it,0,0,0,0,Neutral
sir isnt this tweet trying to promote panic,1,1,2,2,Neutral
portuguese study finds antibodies to coronavirus last up to 5 months health portuguese study finds antibodies to coronavirus last up to 5 months  190,0,0,1,1,Neutral
the price of unrealistic optimism,1,1,2,2,Negative
the president was listening to the professionals dr fauci on 120 did an interview not a major threat to the people of the us,1,1,3,3,Negative
chair of english democrats goes on the attack against englands unlawful amp tyrannical coronavirus act 2020,0,0,1,1,Neutral
she was in the a vet a trail blazer she was a female cop 1960s what happened to her then she died in july not by covid she was 90 lbs if that i was in shock where is justice for her amp for me havent we learned enough by now 2020,1,1,3,3,Neutral
my own conspiracy theory is that the coronavirus has long controlled our behaviour making us first vote for anti-science politicians then activating negationist thoughts regarding its existence now making us attack the doctors who threaten its spread,0,0,1,1,Positive
not a single icu bed available at mumbais top hospitals on tuesday as active cases rise 30 in the past two weeks we are facing the same situation that we faced in the months of may and june a doctor says via,1,1,3,3,Positive
coupa ceo talks to shares thoughts about communityintelligence during the times of covid amp more ci,1,1,3,3,Positive
let me see if i understand this dems and the media but i said the same thing twice are mad that while they were down playing the coronavirus and were actively trying to impeach him trump didnt intentionally induce panic,0,0,0,1,Negative
impeachtrumpagain impeachandremovetrump new audio proves it trump deliberately deceived america about the coronavirus via,0,0,1,1,Positive
plans now call for high school football in new york state to be played in the spring because of the coronavirus,0,0,1,1,Positive
listen to the tape recording in this posting where trump admits he played down the virus to america in january of 2020trump intentionally lied to americans,1,1,3,3,Negative
fauci denies hearing trump distort facts on coronavirus what are you going to do now to support your ongoing delusions start hating little fauci too seeing the projected death toll was 2m  id say trump saved 181m american lives,0,0,1,1,Negative
germans more afraid of donald trump than the coronavirus for many germans a second term for us president donald trump would probably be a nightmaretrump ranksnumber one this year on germans list of fearsat 53 the us president has topped the rv fear scale as early as 2018,0,0,0,0,Positive
fear and frustration as coronavirus cases rise again across europe spending data shows that fear of infection is deterring many wealthier consumers from splashing out,0,0,0,0,Positive
our county in nj is seeing a rise in casescoronavirus no surprise high schools are open indoor dining is open gyms are open,0,1,1,3,Positive
trump told bob woodward that i wanted to always play the coronavirus down and there are tapes rage bob woodward book reveals that trump deliberately lied about the coronavirus,0,0,1,1,Negative
the person warning about the end of suburbia and migrant caravans looting and raping your daughters the idea that hes somebody who wants to turn down the temperature and breathe calm is absurd miller said,1,1,3,3,Negative
teacher deaths from covid-19 raise alarms as new school year begins teachers in at least three states have died after bouts with the coronavirus since the start of the new school year,0,0,1,1,Negative
how have you found the job hunting experience during the pandemic its been a time of challenge and change candidates who have been applying for and starting new roles during the pandemic share their experiences of the new job hunting normal here,1,1,3,3,Positive
brexit is back like a bad rash the coronavirus is spreading rapidly once again in the uk and theres concern companies will slash hiring if the governments wage support program expires at the end of next month,0,0,0,0,Negative
193000 americans our families friends are dead because of the trumpvirus 65 million sick 500000 were children our businesses amp ljobs lost he says he doesnt want to start panic but screams conspiracies to scare you trumpknew trumpknew,1,1,3,2,Negative
joe biden attacked pres trump for downplaying the threat of covid-19 earlier this year to discourage panic but himself told americans not to panic about the disease back in february meanwhile was banning travel from china,1,1,2,2,Neutral
these are the tapes of trump saying he lied to america,1,1,3,3,Neutral
im on the receiving end of certain people getting emo from the c19syndrome covid-19 pandemic may be stressful for people fear amp anxiety overwhelming amp cause strong emotions can make people feel isolated amp lonely amp can increase stress and anxiety,1,1,2,2,Positive
royal health worry spains heir to throne in quarantine- queen letizias daughter at risk,1,1,2,2,Neutral
you cant win even if trump had raised an early alarm about the coronavirus hed be accused of distracting people from his impeachment trumpliedpeopledied,0,0,1,1,Positive
you couldnt make it up coronavirus cases are on the rise again and testing sites are running out of tests i really worry for our safety over the next few months under your control and the government,0,0,0,0,Neutral
on todays episode of theleaderpodcast listen coronavirus brexit and the tory rebels threatening to block boris amp an oregon womans horror as wildfires destroy her home town,0,0,0,0,Negative
over the tomorrow yamagata university will make every effort to overcome tomorrow when despair is promised by the novel coronavirus please expect from yamagata university,0,0,0,0,Neutral
new book reveals president trump admitted to downplaying severity of coronavirus to avoid panic early on cuomo and de blasio amp their minions downplayed the virus they urged new yorkers to not be afraid go party eg chinese new year times square etc,0,0,0,0,Negative
now its turning out its not just old people bob just today and yesterday some startling facts came out its not just old- olderyoung people too plenty of young people president donald trump,1,1,3,3,Negative
if i got coronavirus my chances of dying from it would be very high and i highly doubt i would live well then thats slightly concerning,0,0,0,0,Positive
covid 19 coronavirus doctors scientists attack sweden over cherry-picked data via,0,0,1,1,Neutral
but you dont want to cause panic right what total horsecrap- the violence is yours to own the coronavirus was yours to fix the unemployment rate is yours to handle youve done nothing by the way where is the wall nothing you say is true and youre playing the fear card,0,0,0,1,Positive
coronavirus whats happening in canada and around the world on saturday they are reporting cases not deaths if the death rate was rising they would be reporting deaths theyre keeping us fearful fear is the greatest way to control of people,0,0,0,0,Positive
wow imagine if biden were president right now and was on tape admitting that he lied to americans about how dangerous and deadly coronavirus is imagine if he were still telling americans that they should go to work and reopen schools,0,0,1,1,Negative
um ronna trump is president right now-not biden yet so the coronavirus catastrophe is trumps alone his tombstonetrump trumpliedamericansdied rage unfittobepresident,0,0,1,1,Positive
it is so sad that government is not accountable to anyone people are dying due to coronavirus hungreness depression etc but government is busy in useless topics which very shamefull union labour amp employment minister is even not able to provide the data of migrant laborers,0,0,0,0,Negative
so this tells me they are lying now too i would like to see the numbers of people dying from not receiving treatments for cancer heart issues etc  explosive revelation health min admits she knew about coronavirus in  via,0,0,1,1,Neutral
ivanka trump accepts joy behars covid vaccine challenge,1,1,2,2,Positive
dell meds explains the cytokine storm an immune response which may be responsible for some of the most severe coronavirus complications moriates tells spectrum news this overreaction can wreak havoc on vital organs,0,0,1,1,Positive
gop to states amp cities drop dead it seems that mitch mcconnells amp many republicans extreme hatred of public-sector unions amp public-employee pensions goes far to explain why theyre refusing to aid financially desperate states amp cities,1,1,2,3,Negative
schiff never does what is best for this country the impeachment was more his concern than the coronavirus that trump dealt with,0,0,0,0,Positive
pentagon ai tool for battling coronavirus hold lessons for war,0,0,1,1,Neutral
fury as bbc scotland broadcasts interview with coronavirus sceptic,0,0,1,1,Neutral
the best end of story list price5995 price4197 stress anxiety mentalhealth depression health stressrelief selfcare loveislandusa motivation meditation mentalhealthawareness burnout yoga relax coronavirus fitness,0,0,0,0,Positive
top story gates offers grim global health report and some optimism see more,1,1,2,2,Positive
isnt this also the classic nightmare oh god,1,1,2,2,Positive
but trump cuddling up to putin and imitating xi jinping is acceptable,1,1,3,3,Neutral
plummeting were plummeting on the world stage theres a big fat surprise,1,1,3,3,Neutral
innovation is proving to be a catalyst for positive long-term impacts on improving consumer experiences and workplace satisfaction during covid19 what will you invent in 2020 coronavirus innovation innovation2020 entrepreneurship,0,0,0,0,Positive
the stands at fedex field are empty because of the coronavirus pandemic earlier this week me amp looked at the nfls attempt to conduct its season in these times,0,0,1,1,Negative
unexpected drop in australias jobless rate via covid19aus,1,1,3,3,Positive
coronavirus is the common cold the common cold comes back every fall dont worry,0,0,0,0,Negative
air france-klms future in doubt without cost cuts dutch minister,1,1,2,2,Neutral
aint gonna help will you be telling us that the coronavirus isnt dangerous again too and it will be gone like a miracle play it down trump admits to concealing the true threat of coronavirus in new woodward book,0,0,1,1,Negative
if trump had acted decisively in early february with a strict shutdown and a consistent message to wear masks social distance and wash hands experts believe that thousands of american lives could have been saved people died because he lied,1,1,3,3,Positive
the immunity will last through september 30 2021 with a retroactive start date from when the emergency was declared on march 9,1,1,3,3,Neutral
coronavirus research updates surprise a host of tantalizing new sars-cov-2 proteins is unveiled,0,0,1,1,Positive
so the top trump health swamp dog is now encouraging armed action and violence from their base this guy has no business in the department wtf michaelcaputo coronavirus cdc gopcorruptionovercountry gopdeathcult trumpriots trumpviolence,0,0,1,1,Negative
texans with developmental disabilities in state homes still dont have visitors their parents worry they dont know why via,1,1,2,2,Neutral
coronavirus is bad very bad contagious and deadly but i wont tell the americanpeople  i dont want them to panic ill tell them its like the flu it will go away likemagic  yeah thats good its not like a little white lie hurt anybody covid19 trumpknew,0,0,0,0,Negative
for those feeling hopeless in the face of this pandemic science is giving us reason for cautious optimism on a weekly basis coronavirus cases are rising again in the uk heres what should happen next,0,0,0,0,Neutral
coronavirus updates more states see record week in cases deaths ncaa basketball sets nov 25 start date cdcs redfield touts masks again,0,0,1,1,Positive
trumpknew that coronavirus was five times more deadly than the flu but he let it take over and kill 190000 americans because he didnt want to cause a panic he is unfit to serve and must not be re-elected,0,0,0,0,Positive
waseca federal prison has over 90 inmates infected with novel coronavirus it is imperative that we begin to move inmates who are low-risk out of prisons brandonsample covid19 fciwaseca bop coronavirus covidinprisons covid19,0,0,1,1,Neutral
free content publisher and editor mchugh david delivers the livingston parish traffic weather headlines and more for the livingston parish news morning show on september 11 2020,1,1,2,2,Positive
lord thank you for the changes in our countryworld we pray rom 118 for further revelation on gen flynn trial seth rich murder julian assange trial hillary clinton trial mueller team phones coronavirus origins domestic terrorism fisacoup attempt durham investigation ijna,0,0,1,1,Positive
sorry but your joe biden announced in march that he and barack lived through several pandemics ebola amp h1n1 and that the coronavirus was nothing to worry about i think that trumps your comment,0,0,0,0,Negative
indias coronavirus situation continues to peak with 89706 new cases in day health indias coronavirus situation continues to peak with 89706 new cases in day  577,0,0,1,1,Positive
coronavirus is this the start of a second wave and is the uk prepared  world news  the guardian,0,0,1,1,Neutral
you forgot the rest of the quote ding dong let me fix it for you i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge,0,0,0,0,Negative
it offered no additional direct payments to households after the cheques of up to 1200 per adult sent at the start of the coronavirus crisis senate republicans fail to pass economic stimulus bill via,0,0,1,1,Negative
why are so many things going to shit over the past few days pls stop this is not fun i want to return back to where my only worry was trying to not catch and spread the coronavirus at my v e r y safe school,0,0,0,0,Positive
htbx if t cells are indeed the last piece of puzzle to immunize people against coronavirus there are less than 5 companies that are doing legitimate t cell research in the us hold on and through the storm no matter what it takes cost at the end we will be the winners,0,0,1,1,Negative
the uk govt want to get renewed their totalitarian powers by getting the hoc to pass an extension to the coronavirus act they need to keep pushing the fear factor and make the numbers appear huge or they may not get enough votes in parliament for it,0,0,0,0,Positive
for women and children around the world a double plague coronavirus and domestic violence,0,0,1,1,Neutral
of course the fda shutting down the seattle flu studys coronavirus surveillance still makes me burn in anger so yeah i dont have much pity for the higher-ups at the agencies,0,0,1,1,Negative
domestic violence concerns increase during shelter-in-place ,1,1,3,3,Neutral
add this to the americans trump killed through ignoring coronavirus ignoring climate change is also an outrage,0,0,1,1,Negative
yes with only 40000 new cases of coronavirus every single day 190000 americans in their graves amp 6m infected you wouldnt want to cause panic and have your poll numbers tank would you maybe if you had made public health your 1st priority over polls,0,0,0,0,Positive
how national issues and local demand have combined to put the countys testing system under strain,1,1,3,3,Neutral
vicks vapoinhaler portable nasal inhaler 2 count non-medicated vapors to breathe easy coronavirus supplies restock bwcdeals,0,0,0,0,Positive
donald trumps base does not see coronavirus as a health issue they see it as an opportunity to terrorize democrats they will risk their lives if it is in the service of instilling terror and white people coming together as a mob to terrorize is an american tradition,0,0,0,0,Negative
by amidu arije as students across lagos state start preparations for resumption of learning activities after it was paralysed for six months due to the outbreak of the coronavirus pandemic parents have started another panicking over the safety of,0,0,1,1,Negative
remind america that we were panicking w shortages in stores potus wanted to show a calm steady hand drs are on record no need to worry fights break out at stores as coronavirus panic buying intensifies via,0,0,0,0,Positive
so you dont warn the american public about the seriousness of the coronavirus because you dont what to create a panic yet your whole campaign strategy is based on creating a panic hmmm talk about hypocrisy scum of the earth,0,0,0,0,Negative
play it down right dementia don,1,1,3,3,Positive
physicians briefing weekly coronavirus roundup primarycare,0,0,1,1,Neutral
montessori shuts post positive case,1,1,3,3,Positive
no wonder he downplays covid rate,1,1,3,3,Neutral
domestic abuse services prepare for surge in violence reports as schools reopen the independent domestic abuse services prepare for surge in violence reports as schools reopenthe independent,1,1,3,3,Neutral
how many cases have been officially linked to this event it was under 300 according to npr on september 2nd this is fear lingering and shameful,1,1,2,2,Positive
trump defended his efforts to downplay the covid-19 pandemic on fox news saying he didnt want to scare people via,1,1,2,2,Neutral
hospitals prepare for nightmare scenario of flu and coronavirus striking at same time but the so-called president does not via wapo,0,0,0,0,Positive
allah is angry you were busy spreading hatred imsted of coronavirus now is your chance,0,0,1,0,Negative
perhaps we need to stop giving the tories the benefit doubt by putting coronavirus failures down to their hopelessness its time to start treating their decisions as deliberate and pre-meditated,0,0,0,0,Negative
this is the guy who didnt want to cause a panic by telling the public the truth about coronavirus,0,0,0,0,Neutral
hauntingly sad head shaking and anger inducing writing a must read ive never seen the american west in such deep distress,1,1,3,2,Negative
on february 29th the us reported its first covid-19 death that very same day costcos were selling out of toilet paper so youre telling me people needed the president to tell them it might be more serious than hes letting on,1,1,3,3,Positive
trump knew the virus was deadly and very contagious he was recorded stating that but lied to the public so it would not affect the stock market and was not concerned of the possible loss of life,1,1,3,3,Neutral
air france-klms future in doubt without cost cuts dutch minister,1,1,2,2,Neutral
is there a point to this did you send this to me so i could detail for you amp the fool who calls himself 200 k how the claim that coronavirus has killed 200000 people is bullshit we can start with this,0,0,1,1,Negative
bridgets coronavirus briefings axed by the bbc cue a mass demo by the usual demented thugs outside pacific quay saltires irish tricolours palestinian and catalan flags highlanders dressed like rob roy flora mcdonald marxists for indy blow up dolls the usual losers,0,0,1,1,Negative
beyond ignorant unbelievable whether you think we should shutdown or overacted there are almost 200000 americans dead and all republicans worry about is protecting the image and ego of the piece of shit in the oval office votelikeyourlifedependsonit,1,1,2,2,Negative
anyway biden has been complaining again about trump this time a comment that he deliberately played down the coronavirus to avoid panic a spectacular revelation held back from february and published by bob woodward in his new book rage biden was quite wrath himself,0,0,0,1,Positive
covid19update another surge with trump states visited hit the hardest the difference in us per million amp global per million is frightening these are stats youd expect in the early 1900s the coronavirus 911 deaths was a freaky surprise i put the screengrab on the next post,0,0,1,1,Negative
panic is the trump brand as points out trump evidently did not feel the same presidential obligation to imbue serenity a few hours earlier however when he sounded the alarm on twitter about a number of other topics,1,1,2,2,Negative
besides trumps comments about the coronavirus threat the book covers north korea racial unrest and a new mystery weapons system,0,0,1,1,Positive
maybe add the absurdity of this governments cowardly despotic response to coronavirus to your next electoral crusade that will really scare the fear of the living christ into the tories,0,0,0,0,Positive
traveling industry amp travelers willing to brave the coronavirus storm travel traveling travelideas traveltips coronavirus covid19 fly drive resorts destination,0,0,0,0,Positive
this trial event has now been closed to spectators from today by dr suckling preparations will have been costly and i wonder about the enhanced testing that was somehow to be available at the site at a cost and loss to which groups,1,1,3,3,Positive
republicans show little concern over trump book revelations on coronavirus response gopbetrayedamerica,0,0,0,0,Negative
critics have long noted how trumps public comments failed to sync up with those of public health officials contributing to confusion for americans,1,1,3,3,Negative
coronavirus share of young adults living with parents higher now than great depression pew poll finds,0,0,0,0,Positive
married couple die of coronavirus 4 minutes apart holding hands for the last time they were a blessing this is your legacy killing americans with your lies amp disregard for our health amp well-being pathetic leadership simply pathetic,0,0,1,1,Negative
3 canadas prime minister amp its provincial premiers chose to work together amp not politicize the coronavirus 4 canadas leaders chose to put canadians well-being first 5 canadas leaders chose to be honest with their citizens 6 canadas leaders chose science over bullshit,0,0,1,1,Positive
i also have to be concerned about familys wellbeing and that means i need to continue to work theres bigger issues than a virus thats going to do what its going to do rather live smart than cower in fear i fully endorse kirk cousins position on coronavirus,0,0,0,0,Positive
let us all remember this experts 90 percent of us coronavirus deaths could have been avoided if measures had been taken just two weeks earlier  every death is on trump heknew,0,0,1,1,Neutral
by the numbers 53 of us adults reported that their mental health has been negatively impacted due to worry and stress over the coronavirus according to a new report from the kaiser family foundation kff -significantly higher than the 32 in march,0,0,0,0,Negative
the horror theme park closed because of the pandemic reopened with a change aimed at preventing the spread of the new coronavirus people enjoy the scary entertainment without getting out of the car,0,0,0,0,Negative
crowds descend on yorkshire coast despite rise in covid-19 cases this kind of thing makes me despair of human beings they think they are invulnerable to this virus in their utter selfishness and stupidity,1,1,2,2,Neutral
i cant help but feel a deep down fury when i think of how donald trump knew about the severity of the coronavirus and willingly downplayed its seriousnessendangering thousands of lives we need real leadership and thats not donald trump,0,0,1,1,Positive
im so sorry to read this news wonderful memories abound,1,1,3,3,Positive
read the a march 30 2020 white house briefing not one person in the media was concerned about i didnt want to panic the people strategy,1,1,2,2,Neutral
the standards are keep falling seems old billy thinks he is still writing for the left wing huffington post talk about shotty journalism my goodness doesnt anyone there proof this nonsense,1,1,3,3,Positive
lets start here shall we basically why do these work trump maga donaldtrump usa republican america covid conservative politics coronavirus kag memes makeamericagreatagain trumptrain qanon wwg wga meme keepamericagreat fascism democrats democrat,0,0,1,1,Neutral
the main driver of covid-19 stress is,1,1,3,3,Positive
moodys chinese rlgs face uneven recovery as economically stronger provinces hit harder by coronavirus shock,0,0,0,0,Negative
foreign aid outrage government warned charity begins at home look after us first,1,1,3,3,Positive
you know sometimes i wonder where the heads of these people are this coronavirus thing is trumps and trumps alone everyone who knew should be held accountable for their actions or inactions but it is not joe biden,0,0,1,1,Neutral
you want more again tonight fear fear fear scare scare scare,1,1,2,2,Positive
here it is from the stable genius himself,1,1,3,3,Neutral
trump acknowledges he intentionally downplayed deadly coronavirus says effort was to reduce panic by josh dawsey felicia sonmez and paul kane,0,0,0,0,Negative
2020 when your sinuses ache amp youre wondering if its 1 coronavirus 2 smoke inhalation 3 allergies 4 the immune-system toll of existential despair,0,0,0,0,Neutral
high-risk high school fall sports -- football volleyball and competitive cheer -- are postponed until march of next year,1,1,2,2,Positive
guys time to win big on prize money 2years of mpl when the increase in our collective leisure time is matched only by our heightened anxiety about the spread of the coronavirus,0,0,0,0,Positive
virologist claims coronavirus is manmade via a new song to express my deep concern for what americans suffered,0,0,0,0,Positive
interesting that the government guidance is finally alluding to aerosol transmission albeit vaguely if indoors make sure rooms are well ventilated by keeping windows and doors open its a start i suppose,1,1,3,3,Positive
coronavirus 2020 is now a good time to start a business for agile entrepreneurs with an appetite for innovation now could be the perfect time to start a business of your own,0,0,1,1,Positive
woodward book trump says he knew coronavirus was deadly and worse than the flu while intentionally misleading americans,0,0,1,1,Negative
trump pressed for plasma therapy officials worry is an unvetted vaccine next via,1,1,2,2,Neutral
btw nothing in this piece says we needed to stay in lockdown or should have stayed in lockdown but we needed to go about our daily lives with consistent vigilance hand-washing avoiding crowds social distancing masks etc,1,1,3,3,Positive
when the president claims that he didnt want to cause a panic when he downplayed the coronavirus just remember that you cant spell pandemic without panic trumpknew,0,0,0,0,Neutral
im just waiting for the day its hannity or tucker carlson every minute they are on air many people are more at risk for sickness injury and death between their race baiting for extremist harassment and violence and their catastrophically dangerous coronavirus messaging,0,0,0,1,Positive
uk government alarmed over rising coronavirus cases via,0,0,1,1,Neutral
but you two brainiacs didnt call all of those riots protests and looting from the domestic terror groups blm and antifa a coronavirus breeding ground,0,0,0,0,Neutral
bbc news coronavirus students going back to university is biggest concern,0,0,0,0,Neutral
jessica ter haar phd says while many people have entered into a microbe-phobia to avoid coronavirus there are still many microbes that are essential for good health find out about the benefits of probiotics here,0,0,0,1,Positive
im a physician and a ceo why i wont bring my employees back to the office before labor day 2021 via,1,1,3,3,Neutral
germans more afraid of donald trump than the coronavirus for many germans a second term for us president donald trump would probably be a nightmaretrump ranksnumber one this year on germans list of fearsat 53 the us president has topped the rv fear scale as early as 2018,0,0,0,0,Positive
tories bail out barbaric fox hunters with 50000 cash to survive coronavirus,0,0,1,1,Neutral
it use to be the anti-trump crisis news cycle would last a whole week now there is so little to offer it hardly lasts 24 hours trump maga fakenews trumpderangementsyndrome,1,1,3,3,Negative
its the sun so but we could be in trouble here lads,1,1,2,2,Negative
the coronavirus pandemic is the quiet before the storm of climate change,0,0,1,1,Neutral
pediatrician and md reports high levels of food insecurity financial stress anxiety and fear among patients they suspect the number of children affected by aces is likely to be greater than in studies prior to the pandemic ,1,1,2,2,Positive
bbc news coronavirus concern over rising positive tests in merthyr,0,0,0,0,Positive
coronavirus delhi to continue plasma therapy says health minister after icmr study casts doubt,0,0,0,0,Neutral
i think he knows covid is fake news but cant say it,1,1,3,3,Negative
listening to this doctor-- we all need to read this covid19 pandemic covid-19 a physicians take on the exaggerated fear of the coronavirus by jef via,0,0,0,0,Negative
trump downplayed deadly coronavirus says effort was to reduce panic 190000 americans dead millions sick crashed economy all because of his dereliction of duty hannity,0,0,0,0,Negative
trump conspired with the communist dictator of china to keep the truth about the threat from covid-19 away from the people of both china and america -- all to help his re-election campaign,1,1,3,3,Neutral
sorrry we couldnt be there but as desantis isnt keeping floridians safe especially people-like jj-with underlying conditions we remain in exile and now hes reopening bars saw meet the candidates tracey kagans passion amp commitment to seminole county,1,1,3,3,Positive
